defeat,…を打ち負かす
defective,欠陥がある
defend,…を守る
defendant,被告人
deficit,赤字
define,…を定義する
definition,定義
defy,…に背く
degree,学位，度
delay,…を遅らせる
delegate,代表者
deliberate,…を審議する
deliberately,わざと
delicate,繊細な
delicious,おいしい
delight,大喜び
delighted,とても嬉しい
deliver,（演説を）行う，…を配達する
delivery,配達
delta,三角州
demand （名詞）,需要
demand （動詞）,…を要求する
democracy,民主主義
demonstrate,…を実演する
denounce,…を非難する
dense,濃い
densely,密集して
dentist,歯医者
deny,…を否定する
department,部，課
depend,依存する
deposit,預金
depressed,ひどく落胆した
deprive,…から奪い去る
depth,深み
deputy,代理
derive,…を引き出す
describe,…を（説明的に）述べる
desert,…を（見）捨てる
deserve,…に値する
design,…を意図する
desirable,望ましい
desire,…を望む
despair,絶望
desperate,必死の
despise,…を軽蔑する
despite,…にもかかわらず
destiny,運命
destroy,…を破壊する
destruction,破壊
detail,詳細
detective,探偵，刑事
determine,…を決定する
determined,決意した
detest,…をひどく嫌う
devastate,…を徹底的に破壊する
develop,…を発達させる
developed,発達した
developing,発展途上の
development,開発
device,装置
devil,悪魔
devise,…を考案する
devote,…を捧げる
devout,信仰心の厚い
diagram,図形
dialect,方言
diaper,おむつ
dictator,独裁者
Diet (the ～ ),国会
differ,異なる
difference,違い
diligent,勤勉な
diligently,勤勉に
diplomat,外交官
direction,方向
director,映画監督
disability,身体的障害
disabled,体の不自由な
disappear,消える
disappointed,落胆した
disaster,災害
discipline,しつけ
discouragement,落胆
discover,…を発見する
discriminate,差別する
discuss,…を議論する
disease,病気
disgusting,嫌悪感を与える
dishonest,不誠実な
dislike,…を嫌悪する
dismal,憂鬱な
dismay,ショック
dismiss,…を解雇する
disposal,処分
disposition,性格
dispute,争い
dissatisfaction,不満
distance,遠くの場所
distant,遠い
distinguish,区別する
distinguished,高名な
distract,…をそらす
distress,苦悩
distribution,流通
district,区域
disturb,…の休息を邪魔する
divide,…を分ける
division,部課
divorce,離婚
dollar,ドル
domestic,国内の
dominant,支配的な
donate,…を寄付する
double (動詞),２倍になる
double (形容詞),二重の
doubt,…を疑う
doubt,疑い
dozen,ダース
drag (動詞),…を引きずる
drain,…を排水する
dramatically,劇的に
drawer,引き出し
drip,したたる
drive,…を～にする
drought,干ばつ
drug,麻薬
drugstore,ドラッグストア
drunk,酔った
drunken,酔った
due,到着予定で
dull,鈍い
dumb,口がきけない
dump truck,ダンプカー
during,…の間に
dusk,夕暮れ時
duty,任務
dweller,住人
dying,死にかけた
,
,
e-mail,メール
eager,熱心な
earn,（金・生計を）得る
earner,稼ぐ人
earnest,生真面目な
Earth,地球
earthquake,地震
ease,…を和らげる
eccentric,風変わりな
ecology,生態
economic,経済の
economics,経済学
economist,経済学者
economy,経済
edge,端
editorial,社説
education,教育
educational,教育の
effect,効果
effective,効果的な
efficiency,効率
effort,努力
elaborate,手が込んだ
elbow,肘
elder,年上の
elderly,年配の
elect,…を選出する
election,選挙
electric,電気の
electrical,電気の
electricity,電気
electronic,電子の
element,要素
elementary,初級の
eligible,適格の
eliminate,…を取り除く
elite,エリートの
else,他の
embarrassed,恥ずかしい
embrace,…を抱きしめる
emerge,現れる
emergency,緊急
emotion,感情
emotional,精神的な
emphasis,強調
emphasize,…を強調する
employee,従業員
employer,雇用者
empty,空の
empty-handed,手ぶらで
encounter,…に出くわす
encourage,…を励ます
endanger,…を危険・危機にさらす
endeavor,懸命な努力
endow,…に授ける
endure,…に耐える
enemy,敵
energy,エネルギー
engaged,婚約している，手がふさがって
engineer,技術者
engineering,工学
enormous,巨大な
ensure,確実に…となるようにする
enter,…に入る
enterprise,企業
entertain,…を楽しませる
enthusiasm,熱心
entire,…全体
entirely,完全に
entitle,…に資格を与える
entrance,入ること
envious,うらやましい
environment,環境
environmental,環境の
envy,嫉妬
epidemic,伝染病
episode,（連続番組などの）１回分
epoch-making,画期的な
equal (形容詞),等しい
equal (動詞),…に等しい
equator （the ～）,赤道
equipment,装置
equivalent,等しい
era,時代
erect,…を建てる
error,間違い
erupt,噴火する
escape,逃れる
especially,特に
essay,作文
essential,必要不可欠な
establish,…を設立する
estate,遺産
esteem,尊敬の念
estimate,見積もり
eternal,永遠の
ethnic,民族の
evasion,回避
event,催し物
eventually,最終的に
evidence,証拠
evident,明らかな
evil,悪の
evolve,発達する
ex-,前の
exactly,まさしく
exaggerate,…を誇張する
exam,試験
examination,試験
examine,…を調べる
example,例
exceed,…を越える
excellent,素晴らしい
except,…を除いて
exceptional,例外的な
excess,過剰
excessive,過剰な
exchange（名詞）,交換
exchange（動詞）,…を交換する
excite,…を興奮させる
excited,興奮した
exclaim,叫ぶ
exclude,…を除外する
exclusively,もっぱら
excuse,言い訳
execute,…を処刑する
executive,重役
exercise,運動
exhaust,…を使い果たす
exhausted,くたくたに疲れた
exhibit,…を表に出す
exhibition,展示会
exist,存在する
existence,生存
expand,…を拡大する
expect,を予期する
expedition,探検旅行
expel,…を追放する
expenditure,歳出
expense,費用
expensive,高価な
experience,経験
experienced,経験を積んだ
experiment,実験
expert,専門家
explain,説明する
exploit,…を搾取する
explorer,探検家
explosion,爆発
export,…を輸出する
express,…を表現する
expression,表現
exquisite,実に見事な
extend,…を伸ばす
extensive,広範囲の
extent,程度
extinction,絶滅
extra,余分の
extract,…を引き出す
extraordinary,すごい
extreme,極度の
extremely,極度に
,
,
fable,寓話
face (動詞),…に面する
-faced,…な顔をした
facility,施設
faction,派閥
factor,要素
factory,工場
faculty,能力
Fahrenheit,華氏
fail,うまく機能しない
failure,失敗，停止
fair,公正な
fairly,まずまず
faith,信頼
fake,偽物
fall,…になる
fame,有名であること
familiar,馴染みのある
famine,飢饉
far-reaching,広範囲にわたる
fare,料金
farewell,お別れ
fascinated,魅了された
fatal,致命的な
fate,運命
fatigue,疲労
fault,（失敗の）責任，欠点
favor,（親切心から）人にする行為
favorable,好都合な
favorite,最も気に入っている
FBI,米国連邦捜査局
feat,偉業
feature,特徴
fee,謝礼
feeble,弱々しい
feed,…に食べ物を与える
fellow,同僚の
female,雌の
feminist,男女同権主義の
festival,お祭り
feudal,封建制の
fiance,婚約者
field,畑
fierce,激しい
fight,…を戦う
fighter,戦闘機
figure,数字
fill,…を満たす
film,映画
finally,最後には
financial,金融の
fine (動詞),…に罰金を課す
finger,指
fire (動詞),…を首にする
fire engine,消防車
firearm,小型の火器
firm (形容詞),しっかりとした
firm (名詞),会社
fiscal,財政上の
fisherman,漁師
fit (形容詞),体調がよい，適している
fit (動詞),サイズが…に合う
fix,…を修理する
flat tire,パンクしたタイヤ
flatly,きっぱりと
flatter,…にお世辞を言う
flip,ひっくり返る
float,浮かぶ
flood,洪水
flourish,繁盛する
flow,流れる
flu,インフルエンザ
fluently,流暢に
fly,飛行機で行く
focus,焦点
fog,霧
fold,…を折りたたむ
folk,民衆の
follow,…に続く
following (形容詞),次の
following (前置詞),…の後に
foolish,愚かな
for (接続詞),というのは…だからだ
for sure,確実な
forbid,…を禁ずる
force,…に強制する
forecast,予測
forecaster,予報士
forehead,額（ひたい）
foreign,外国の
foreman,工場長
foresee,…を予知・予見する
forgive,…を許す
form (名詞),（書き込み）用紙
form (動詞),…を形作る
formal,公式な
former,以前の
former （the ～）,前者
formerly,以前は
formidable,非常に手強い
formula,（数学・化学の）式
fortunate,幸運な
fortune,富
fortune-teller,占い師
forward,前方へ
foster,育ての，里親の
foul,汚い
found,…を設立する
founder,創始者
fragile,脆弱な
frantic,狂乱した
fraud,不正
freedom,自由
freeway,高速道路
freeze,凍る
freight,貨物
frequently,頻繁に
fresh,新たな
freshman,新入生
friction,摩擦
friendly,友好的な
frighten,…を怖がらせる
frightened,怖がっている
frown,顔をしかめる
frustrated,不満である
fuel,燃料
fulfill,…を果たす
full,完全な
full-time,全時間勤務の
fully,完全に
function,機能
fund,基金
fundamental,基本的な
funny,面白い
furious,かんかんに怒った
furnish,…に備え付ける
furniture,家具
further,さらに先へ，それ以上の
furthermore,その上さらに
futile,無駄な
,
,
gain,…を得る
gamble,ギャンブルをする
gangster,ギャングの一員
garbage,ゴミ
gather,…を集める
